company_id,risk_number,category,score,materiality_score,emphasis_score,ddi_score,risk_snippet
lohiacorp,57,Legal,4,95.0,17.82,77.18,"As of March 31, 2026, we had contingent liabilities which have not been provided for in our financial statements and could adversely affect our financial condition. As of March 31, 2026, we had contingent liabilities not..."
lohiacorp,19,Financial,4,95.0,39.66,55.34,"Orders in our order book may be delayed, truncated, modified, or cancelled, and may not translate into confirmed orders, which may have an adverse effect on our business, results of operation, financial condition and cas..."
lohiacorp,2,Financial,4,100.0,49.43,50.57,"Significant increases or fluctuations in prices of, or shortages of, or delay or disruption in supply of primary raw materials could affect our estimated costs, expenditures and timelines which may have an adverse effect..."
lohiacorp,54,Regulatory,4,100.0,52.27,47.73,"Our Promoters, certain of our Directors and Key Managerial Personnel may have interests other than reimbursement of expenses incurred and normal remuneration or benefits. Our Promoters, certain of our Directors and Key M..."
lohiacorp,40,Legal,4,100.0,57.59,42.41,"Our Company, Promoters, Directors, Key Managerial Personnel and Senior Management are involved in certain legal and regulatory proceedings. Any adverse decision in such proceedings may have an adverse effect on our busin..."
paytm,35,Legal,4,100.0,29.01,70.99,"There are pending litigations against our Company, Subsidiaries, and certain of our Directors. Any adverse decision in such proceedings may render us/them liable to liabilities/penalties and may adversely affect our busi..."
paytm,71,Financial,4,75.0,6.79,68.21,"Investors may be subject to Indian taxes arising out of income arising on the sale of and dividend on the Equity Shares. Under current Indian tax laws, unless specifically exempted, capital gains arising from the sale of..."
paytm,58,Regulatory,4,60.0,14.81,45.19,"Changes in the taxation system in India could adversely affect our business. Our business, financial condition and results of operations could be adversely affected by any change in the extensive central and state tax re..."
paytm,42,Financial,4,65.0,24.69,40.31,"An inability to comply with repayment and other covenants in the financing agreements could adversely affect our business, financial condition, cash flows and credit rating We have entered into agreements in relation to ..."
paytm,33,Legal,3,100.0,60.25,39.75,"We are exposed to many types of operational risk, including the risk of misconduct and errors by our employees and other service providers. We are exposed to many types of operational risk, including the risk of miscondu..."
zomato,40,Legal,4,100.0,19.53,80.47,Changing regulations in India could lead to new compliance requirements that are uncertain. The regulatory and policy environment in which we operate is evolving and is subject to change. The government of India (“GoI”) ...
zomato,55,Financial,4,75.0,7.81,67.19,"Investors may be subject to Indian taxes arising out of income arising on the sale of and dividend on the Equity Shares. Under current Indian tax laws, unless specifically exempted, capital gains arising from the sale of..."
zomato,18,Legal,4,100.0,36.72,63.28,"There are pending litigations against our Company, Subsidiaries, and certain of our Directors. Any adverse decision in such proceedings may render us/them liable to liabilities/penalties and may adversely affect our busi..."
zomato,25,Legal,3,90.0,31.25,58.75,Failure to detect and deal effectively with any fraud perpetrated and fictitious transactions conducted on our platform could harm our business. We face risks with respect to fraudulent activities engaged by restaurant p...
zomato,6,Legal,3,100.0,46.09,53.91,"Unfavorable media coverage could harm our business, financial condition, cash flows and results of operations. We are the subject of media coverage from time to time. Unfavorable publicity regarding our business model, r..."
