company_id,risk_number,category,score,readability_score,risk_snippet
lohiacorp,14,Operational,4,-17.84,Information relating to our production capacities and the historical capacity utilization of our manufacturing facilities included in this Red Herring Prospectus is based on various assumptions and estimates and future p...
lohiacorp,6,Regulatory,4,-9.68,"The Indian and global woven raffia machines market faces challenges such as environmental regulations, high capital costs for advanced machinery and competition. We cannot assure you that the demand for our products will..."
lohiacorp,5,Regulatory,4,-2.87,"We rely on the continued operations of our manufacturing facilities and any slowdown, shutdown or disruption in our manufacturing facilities may be caused by natural and other disasters causing unforeseen damages which m..."
lohiacorp,42,Legal,4,-1.92,"Our reliance on third parties for certain aspects of our business, including raw material suppliers, transporters of our raw materials and products and logistic / warehouse service providers, exposes us to certain risks...."
lohiacorp,39,Financial,4,1.58,"If we are unable to maintain and enhance our brand, the sales of our products will suffer, which would have an adverse effect on our results of operations, financial condition and cash flows. We believe that our brand pl..."
paytm,26,Regulatory,4,0.83,"Payments banks in India, including our Group Company Paytm Payments Bank, are subject to regulatory requirements and prudential norms and its inability to comply with applicable laws, regulations and norms may have an ad..."
paytm,7,Financial,4,1.54,"Failure to maintain or improve our technology infrastructure could harm our business and prospects. It is critical to our success that all participants are able to access our platforms, at all times. Our systems, or thos..."
paytm,19,Legal,4,6.86,"Failure to comply with the existing laws and regulations applicable to our business could subject our Company, or our subsidiaries or our associates or our shareholders, as applicable, to enforcement actions and penaltie..."
paytm,35,Legal,4,10.02,"There are pending litigations against our Company, Subsidiaries, and certain of our Directors. Any adverse decision in such proceedings may render us/them liable to liabilities/penalties and may adversely affect our busi..."
paytm,66,Financial,4,11.87,"Natural disasters, fires, epidemics, pandemics, acts of war, civil unrest and other events could materially and adversely affect our business. Natural disasters (such as typhoons, flooding and earthquakes), epidemics, pa..."
zomato,18,Legal,4,10.88,"There are pending litigations against our Company, Subsidiaries, and certain of our Directors. Any adverse decision in such proceedings may render us/them liable to liabilities/penalties and may adversely affect our busi..."
zomato,39,Financial,4,11.81,"Natural disasters, fires, epidemics, pandemics, acts of war, terrorist attacks, civil unrest and other events could materially and adversely affect our business. Natural disasters (such as typhoons, flooding and earthqua..."
zomato,46,Legal,4,13.3,"Our business and activities may be regulated by the Competition Act, 2002 and proceedings may be enforced against us. The Competition Act seeks to prevent business practices that have an appreciable adverse effect on com..."
zomato,40,Legal,4,14.21,Changing regulations in India could lead to new compliance requirements that are uncertain. The regulatory and policy environment in which we operate is evolving and is subject to change. The government of India (“GoI”) ...
zomato,3,Financial,4,14.38,"The COVID-19 pandemic, or a similar public health threat, has had an impact and could further impact our business, cash flows, financial condition and results of operations. An outbreak of COVID-19 was recognized as a pa..."
