company_id,risk_number,category,score,materiality_score,emphasis_score,ddi_score,risk_snippet
lohiacorp,57,Legal,4,95.0,26.58,68.42,"As of March 31, 2026, we had contingent liabilities which have not been provided for in our financial statements and could adversely affect our financial condition. As of March 31, 2026, we had contingent liabilities not..."
lohiacorp,19,Financial,4,95.0,46.73,48.27,"Orders in our order book may be delayed, truncated, modified, or cancelled, and may not translate into confirmed orders, which may have an adverse effect on our business, results of operation, financial condition and cas..."
lohiacorp,54,Regulatory,4,100.0,54.51,45.49,"Our Promoters, certain of our Directors and Key Managerial Personnel may have interests other than reimbursement of expenses incurred and normal remuneration or benefits. Our Promoters, certain of our Directors and Key M..."
lohiacorp,2,Financial,4,100.0,65.97,34.03,"Significant increases or fluctuations in prices of, or shortages of, or delay or disruption in supply of primary raw materials could affect our estimated costs, expenditures and timelines which may have an adverse effect..."
lohiacorp,81,Regulatory,3,45.0,12.8,32.2,"Pursuant to listing of the Equity Shares, we may be subject to pre-emptive surveillance measures like Additional Surveillance Measure (“ASM”) and Graded Surveillance Measures (“GSM”) by the Stock Exchanges in order to en..."
paytm,35,Legal,4,100.0,44.16,55.84,"There are pending litigations against our Company, Subsidiaries, and certain of our Directors. Any adverse decision in such proceedings may render us/them liable to liabilities/penalties and may adversely affect our busi..."
paytm,71,Financial,4,75.0,20.73,54.27,"Investors may be subject to Indian taxes arising out of income arising on the sale of and dividend on the Equity Shares. Under current Indian tax laws, unless specifically exempted, capital gains arising from the sale of..."
paytm,42,Financial,4,65.0,32.97,32.03,"An inability to comply with repayment and other covenants in the financing agreements could adversely affect our business, financial condition, cash flows and credit rating We have entered into agreements in relation to ..."
paytm,70,Regulatory,3,45.0,13.72,31.28,"The determination of the Price Band is based on various factors and assumptions and the Offer Price of the Equity Shares may not be indicative of the market price of the Equity Shares after the Offer. Further, the curren..."
paytm,33,Legal,3,100.0,71.7,28.3,"We are exposed to many types of operational risk, including the risk of misconduct and errors by our employees and other service providers. We are exposed to many types of operational risk, including the risk of miscondu..."
zomato,40,Legal,4,100.0,39.53,60.47,Changing regulations in India could lead to new compliance requirements that are uncertain. The regulatory and policy environment in which we operate is evolving and is subject to change. The government of India (“GoI”) ...
zomato,55,Financial,4,75.0,17.92,57.08,"Investors may be subject to Indian taxes arising out of income arising on the sale of and dividend on the Equity Shares. Under current Indian tax laws, unless specifically exempted, capital gains arising from the sale of..."
zomato,26,Financial,3,90.0,34.36,55.64,"Any failure to offer high-quality support may harm our relationships with restaurant partners, customers, and delivery partners and could adversely affect our business, financial condition, cash flows and results of oper..."
zomato,18,Legal,4,100.0,45.66,54.34,"There are pending litigations against our Company, Subsidiaries, and certain of our Directors. Any adverse decision in such proceedings may render us/them liable to liabilities/penalties and may adversely affect our busi..."
zomato,25,Legal,3,90.0,39.61,50.39,Failure to detect and deal effectively with any fraud perpetrated and fictitious transactions conducted on our platform could harm our business. We face risks with respect to fraudulent activities engaged by restaurant p...
