risk_text,category,score,reasoning
"If we are unable to attract merchants to our ecosystem, grow our relationships with our existing merchants, and increase transaction volumes on our platforms, our business, results of operations, financial condition, cash flows and prospects could be materially and adversely affected. Our growth substantially depends on our ability to maintain and grow our relationships with existing merchants and increase the volume of transactions processed on our platforms. We rely on the continuing growth of our merchant relationships and our distribution channels in order to expand our GMV and our operations. We derive revenue primarily from the fees earned from merchants for the payments, commerce and cloud, and financial services we provide through our platforms. Our total merchant base has grown from 11.2 million as of March 31, 2019 to 21.1 million as of March 31, 2021, and our GMV has increased from ₹2,292 billion in FY 2019 to ₹4,033 billion in FY 2021. If we are not able to attract new merchants and retain existing merchants or increase transaction volumes on our platforms, our payment channels may struggle to gain wider acceptance among merchants, which in turn may impede our ability to grow our revenues. The attractiveness of our platforms to merchants and their willingness to partner with us depends upon, among other things: the variety and quality of service and product offerings, payment options offered to consumers, the size of merchant network and degree of consumer penetration; the strength of our brand and reputation; the amount of fees that we charge; our ability to sustain our value proposition to merchants for consumer acquisition by demonstrating higher conversion at checkout; the attractiveness to merchants of our technology and data-driven platform; our competitors’ offerings; and our merchant satisfaction. We may experience attrition of our merchant relationships due to several factors, some of which are outside our control, including business closures, bankruptcy, financial distress, transfers of merchants’ accounts to our competitors, cancellations and account closures that we initiate due to heightened credit risks relating to contract breaches by merchants or a reduction in sales, which could have a material adverse effect on our business, financial condition, cash flows and results of operations. In addition, our growth to date has been partially driven by the growth of our merchants’ businesses and the resulting growth in GMV. Should the rate of growth of our merchants’ business slow or decline, this could have an adverse effect on volumes processed and therefore an adverse effect on our financial condition, cash flows and results of operations. Further, our contracts with our merchants are typically for a limited period, ranging between six months and five years, or valid until terminated, and the terms of such contracts allow these merchants to terminate the contracts without cause by giving notice as per the terms of the agreement. We have no guarantee of income under these agreements or minimum requirements for the use of our products and services. Merchants may seek price reductions when expanding or changing their products and services with us and/or when the merchants’ business experiences significant volume changes. Further, certain merchants may seek to lower prices previously agreed upon to pricing competition, volume increase or other economic needs or pressures faced by the merchant. In addition, some of our merchants often have arrangements with multiple payment service providers, primarily in order to mitigate certain risks, such as downtime, delayed response time or default by a payment service provider, as well as to maximize conversion among payments service providers, and to have a complete array of payment methods available. Therefore, these merchants could shift business away at any given time without necessarily terminating their contracts with us. If our contracts with our merchants are terminated or if these merchants shift business away from us, or if we are unsuccessful in retaining high renewal rates and favorable contract terms, our business, financial condition, cash flows and results of operations could be materially adversely affected. In this connection, having a diversified mix of merchants across industries is important to mitigate risk associated with changing consumer spending behavior, economic conditions and other factors that may affect a particular type of merchant or industry. If we fail to retain any of our larger merchants or a substantial number of our smaller merchants, if we do not acquire new merchants, if we do not increase transaction volumes on our platforms, or if we do not attract and retain a diverse mix of merchants, our business, results of operations, financial condition, cash flows and prospects would be materially and adversely affected.",Financial,4,High (Financial): Specific metrics and financial exposure details provided.
"If we fail to retain our consumers, attract new consumers, expand the volume of transactions from consumers, or if our consumer acquisition costs increase, our business, revenue, profitability and growth may be harmed. Our success depends on our ability to generate repeat use and increased transaction volume from existing consumers and to attract new consumers to our platforms. We generate revenue when consumers use the products and services we offer on our platforms, such as, transact and pay for products and services, make bill payments and recharges and transfer money, among others. If we are not able to continue to grow our consumer base, we will not be able to continue to grow our merchant network or our business. Our ability to retain and grow our consumer base depends on the willingness of consumers to use our platforms, products and services. The attractiveness of our platforms to consumers depends upon, among other things: the number and variety of merchants and the mix of products and services available through our platforms; our brand and reputation; consumer experience and satisfaction; consumer trust and perception of our solutions; technological innovation; and products and services offered by competitors. Our marketing efforts currently include digital and print marketing, sponsorships for sporting events and promotional discounts and offers to our merchants and consumers. While our marketing and promotion expenses as a percentage of our revenue from operations has been decreasing gradually, we may need to introduce new marketing options and our marketing initiatives may become increasingly expensive and generating a meaningful return on these initiatives may be difficult. If we fail to retain our relationship with existing consumers, if we do not attract new consumers to our platforms, or if we do not continually expand transaction volumes from consumers on our platform, our business, results of operations, financial condition, cash flows and prospects would be materially and adversely affected",Financial,3,Moderate (Financial): Real business risk but stated vaguely without specific numbers or metrics.
"We may not be able to maintain and strengthen the network effects of our platform, which could have a material adverse effect on our business, financial condition, results of operations and prospects. Our ecosystem has multiple, unique self-reinforcing flywheels, which drive continuous growth of consumers and merchants on our ecosystem. Our consumers and merchants, interact with each other on our ecosystem to create very strong network effects which drives our growth further. The extent to which we are able to maintain and strengthen these network effects depends on our ability to:  attract and retain consumers and merchants and provide superior satisfactory experience to them;  offer and maintain scalable and efficient platforms;  provide a wide range of high-quality, secure and trustworthy products and services;  maintain a high level of engagement and activity of consumers and merchants on our platforms;  improve the quality of our consumer insights;  consistently innovate and improve the products and services offered on our platforms;  address consumer concerns with respect to data security and privacy in connection with our data processing activities;  increase the effectiveness of businesses and partners engaging with consumers on our platforms;  attract and retain merchants that are able to provide quality products and services on commercially reasonable terms on our platforms; and  continue adapting to the changing demands of the market and consumer behavior and preference. In addition, changes that we implement to our platforms to improve the merchant and consumer experience may not have the intended effect which could adversely impact certain groups of consumers To the extent we are not able to address the needs and demands of any particular participant group, those participants may spend less time, mind-share and resources on our platforms and may conduct fewer transactions or use alternative platforms, any of which could result in a material decrease in the network effects on our platforms and therefore have a material adverse effect on our business, financial condition, cash flows, results of operations and prospects.",Financial,3,Moderate (Financial): Real business risk but stated vaguely without specific numbers or metrics.
"We derive a majority of our revenue from our payment services. Our efforts to expand our service offerings and market reach may not succeed and may impact our revenue and our growth. We derive a majority of our revenue from transaction fees we collect from merchants for our payment services. In FY 2019, FY 2020 and FY 2021, revenue from our payment and financial services accounted for 52.5%, 58.1% and 75.3% of our revenue from operations. Our efforts to expand our payment services depends on among other things, our ability to broaden the scope of the products and services we offer, develop new technologies, enhance the functionality of our products and services and respond to the needs of our merchants and consumers. Our failure to broaden the scope of payments services that are attractive may inhibit the growth our business, as well as increase the vulnerability of our core payments business to competitors. Further, our revenue may also be affected by our service mix. We generate higher fees from the use of certain payment instruments compared to others. For example, we do not charge any fees for certain transactions through Rupay debit cards and UPI to comply with prescribed merchant discount rates. Any unfavourable changes in merchant discount rates could have a material adverse impact on our operations, cash flows and financial condition.",Financial,4,High (Financial): Specific metrics and financial exposure details provided.
"The ongoing COVID-19 pandemic and measures intended to prevent its spread have had, and may continue to have, a material and adverse effect on our business and results of operations. An outbreak of COVID-19 was recognized as a pandemic by the World Health Organization (“WHO”) on March 11, 2020. In response to the COVID-19 outbreak the governments of many countries, including India, had taken and may continue to take preventive or protective actions, such as imposing country-wide lockdowns, restrictions on travel and business operations and advising or requiring individuals to limit their time outside of their homes. Temporary closures of businesses were ordered and numerous other businesses were temporarily closed on a voluntary basis as well. Resurgence of COVID-19 in India in April 2021 led to further lockdowns in various regions of India and businesses are temporarily closed. While lockdowns are being progressively relaxed, the scope, duration, and frequency of such measures and the adverse effects of COVID-19 remain uncertain and could be severe. Lockdowns imposed as a result of the pandemic impacted our operations, in particular our commerce and cloud business. Revenue from our commerce and cloud services decreased by 38.0% to ₹6,932 million in FY 2021 from ₹11,188 million in FY 2020. Our Commerce GMV declined in FY 2021 primarily due to disruptions to our partners in travel, entertainment and e-commerce industries. According to RedSeer, during the FY 2021 the travel industry declined by approximately 55% and movies and events declined by 88% compared to FY 2020 due to the various restrictions imposed as a result of the COVID-19 pandemic. While our revenue from our payments and financial services increased in FY 2021 compared to FY 2020, the pandemic disrupted many of our merchant partners with particular severity from March 2020 to May 2020. This resulted in a decline in our payments volumes, as our GMV remained flat during fourth quarter of FY 2020 and declined by 14% during the first quarter of FY 2021, respectively, compared to the third quarter of FY 2020. As lockdowns eased in India in the second quarter of FY 2021, our GMV increased consistently for the rest of the FY 2021. The pandemic has adversely impacted, and is likely to continue to adversely impact, our operations and the operations of our merchants and business partners. The pandemic has caused us to modify our business practices to help minimize the risk of the virus to our employees, our merchants, and the communities in which we participate, which could negatively impact our business. These measures include temporarily requiring employees to work remotely, suspending all non-essential business travel for our employees, limiting external guests visiting our offices, and canceling, postponing, or holding meetings and events virtually. Given the continually evolving situation, there is no certainty that the measures we have taken will be sufficient to mitigate the risks posed by the pandemic. The extent to which the COVID-19 pandemic impacts our business, results of operations, cash flows and financial condition will depend on developments that continue to be highly uncertain and difficult to predict, including, but not limited to, the duration and spread of the pandemic, its severity, the actions to contain the virus or treat its impact, the availability, distribution and efficacy of vaccines, and how quickly and to what extent normal economic and operating conditions can resume. Even after the COVID-19 pandemic has subsided, we may experience material and adverse impacts to our business as a result of the virus’s global economic impact, including the availability of credit, bankruptcies or insolvencies of merchants, and recession or economic downturn.",Financial,5,Severe (Financial): Material impact is quantified with specific numbers/historical financial losses.
"If we fail to manage our growth effectively, we may be unable to execute our business plan or maintain high levels of service and satisfaction, and our business, results of operations, and financial condition could be adversely affected. We have experienced significant expansion in the last three fiscal years and anticipate that we will continue to expand in order to address potential growth in our merchant base and take advantage of market opportunities. Our GMV has increased from ₹2,292 billion in FY 2019 to ₹4,033 billion in FY 2021, and our monthly transacting users (“MTU”) have grown consistently during FY 2021 and in the fourth quarter of FY 2021 our average MTU was 50.4 million. Our total number of merchants has grown from 11.2 million as of March 31, 2019 to 21.1 million as of March 31, 2021. If we are unable to maintain at least our current level of operations, our business, results of operations, financial condition, cash flows and prospects would be materially and adversely affected. Many factors may contribute to a decline in our revenue growth rates, including increased competition, slowing demand for our products and services from existing and new consumers, reduced market acceptance of our existing products and services, transaction volume and mix, lower sales by our merchants, our merchants seeking to reduce the fees we charge to them, general economic conditions, government actions and policies, a failure by us to continue capitalizing on growth opportunities, changes in the regulatory environment and the maturation of our business, among others. We cannot assure you that our current and planned systems, policies, procedures and controls, personnel and third-party relationships will be adequate to support our future operations. Our failure to manage growth effectively could seriously harm our business, results of operations, cash flows and financial condition. To manage operations and personnel growth, we will need to continue to grow and improve our operational, financial, and management controls and our reporting systems and procedures. We will require significant capital expenditures and the allocation of valuable management resources to expand our systems and infrastructure without any assurances that our net revenue will increase. We also believe that our corporate culture has been and will continue to be a valuable component of our success. As we expand our business and mature as a listed company, we may find it difficult to maintain our corporate culture while managing this growth. Failure to manage our anticipated growth and organizational changes in a manner that preserves the key aspects of our culture could reduce our ability to recruit and retain personnel, innovate, operate effectively, and execute on our business strategy, potentially adversely affecting our business, results of operations, cash flows and financial condition. We will need to adapt and upgrade our controls, policies, procedures and overall operations to accommodate our growing operations and supporting personnel. Moreover, the speed with which our internal controls and procedures are implemented or adapted to changing regulatory or commercial requirements may be inadequate to ensure full and immediate compliance, leaving us vulnerable to inconsistencies and failures that may have a material adverse effect on our business, results of operations, cash flows and financial condition.",Regulatory,4,High (Regulatory): Specific metrics and financial exposure details provided.
"Failure to maintain or improve our technology infrastructure could harm our business and prospects. It is critical to our success that all participants are able to access our platforms, at all times. Our systems, or those of third-parties upon which we rely, may experience service interruptions or degradation or other performance problems because of hardware and software defects or malfunctions, unexpected high volume of transactions, distributed denial-of-service and other cyberattacks, infrastructure changes, human error, earthquakes, hurricanes, floods, fires, natural disasters, power losses, disruptions in telecommunications services, unauthorized access, fraud, military or political conflicts, terrorist attacks, legal or regulatory takedowns, computer viruses, ransomware, malware, or other events. Our systems also may be subject to break-ins, sabotage, theft and intentional acts of vandalism, including by our own employees, all of which would impact our ability to provide secure and seamless access to our platforms, which would have an adverse impact on our operations and reputation. The software underlying our platforms is complex and may contain undetected errors or vulnerabilities, some of which may only be discovered at a subsequent stage or may not get discovered at all. Our practice is to release frequent software updates. Any errors, vulnerabilities or infringements discovered in our code or from third-party software after release could result in negative publicity, a loss of consumer or loss of revenue, legal proceedings, and access or other performance issues. Such vulnerabilities could also be exploited by malicious actors and result in exposure of data of the participants on our platform, or otherwise result in a security breach or other security incident. Any failure to timely and effectively resolve any such errors, defects, or vulnerabilities could adversely affect our business, reputation, brand, financial condition, cash flows and results of operations. We have experienced and will likely continue to experience system failures and other events or conditions from time to time that interrupt the availability or reduce or affect the speed or functionality of our platform. These system failures generally occur either as a result of software updates being deployed with unexpected errors or as a result of temporary infrastructure failures related to storage, network, or computing capacity being exhausted. Further, in some instances, we may not be able to identify the cause or causes of these performance problems within an acceptable period of time. Any failure to maintain and improve our technology infrastructure could result in unanticipated system disruptions, slower response times, impaired consumer experience, delays in reporting accurate operating and financial information and failures in risk management. The risks of these events occurring are even higher during certain periods of peak usage and activity, such as on or around various shopping festivals or other promotional events, when transaction volume is significantly higher on our payment network compared to other days of the year. In addition, much of the software and interfaces we use are internally developed and proprietary technology. If we experience problems with the functionality and effectiveness of our software, interfaces or platform, or are unable to maintain and continuously improve our technology infrastructure to handle our business needs, our business, financial condition, cash flows, results of operations and prospects, as well as our reputation and brand, could be materially and adversely affected. Furthermore, our technology infrastructure, products and services, including our service offerings, incorporate third-party-developed software, systems and technologies, as well as hardware purchased or commissioned from outside and overseas suppliers. As our technology infrastructure, products and services expand and become increasingly complex, we face increasingly serious risks to the performance and security of our technology infrastructure, products and services that may be caused by these third-party-developed components, including risks relating to incompatibilities among these components, service failures or delays or back-end procedures on hardware and software. We also need to continuously enhance our existing technology. Otherwise, we face the risk of our technology infrastructure becoming unstable and susceptible to security breaches. This instability or susceptibility could create serious challenges to the security and uninterrupted operation of our platforms, products and services, which would materially and adversely affect our business and reputation.",Legal,4,"High (Legal): Specific and material operational/business dependency, but contingent or forward-looking."
"We offer some of our services in partnership with our Group Company, Paytm Payments Bank. Any failure by Paytm Payments Bank to support these services could adversely impact these services and could impact our overall business, financial condition and results of operations. We own 49% equity interest in Paytm Payments Bank and Mr. Vijay Shekhar Sharma holds the remaining 51%. Many of the payment instruments or channels, such as Paytm Wallet, Paytm UPI, NACH, Paytm FASTag and Fixed Deposits are offered on our platforms by Paytm Payments Bank in accordance with the respective agreements executed between our Company and Paytm Payments Bank. The tenure of these agreements vary from being perpetual in nature to having a fixed term ranging between three years and five years, with an option to renew for a further period on termination as per mutual agreement. These agreements also stipulate that each party may terminate the contracts for cause by giving a notice of 120 days and a notice ranging between 30 to 90 days without cause for convenience. In the event of termination of the agreements with Paytm Payments Bank, Company might need to enter into agreements with third parties who might charge higher rates for services which could adversely impact the Company’s business, financial condition and prospects. Under the terms of the shareholders’ agreement with Paytm Payments Bank, our Company has a call option right on any proposed transfer of shares of Paytm Payments Bank by Mr. Vijay Shekhar Sharma, subject to him holding at least 40% of the share capital of Paytm Payments Bank during such mandatory lock in period on shares of promoter as may be imposed by the RBI and various associated legal considerations such as mandatory lock in on shares of promoter and foreign direct investment limits, among others. For more details, see “Our Business – Financial Services – Paytm Payments Bank – Our relationship with Paytm Payments Bank” on page 184. As a licensed payments bank in India, Paytm Payments Banks’ business is highly regulated and is subject to various regulatory requirements in India. For details, see “Key Regulations and Policies in India” on page 197. The RBI and certain other regulatory authorities conduct regular and ad hoc inspections, examinations and inquiries on Paytm Payments Bank’s business operations and compliance with laws and regulations, and have the authority to impose sanctions, penalties or remediation actions. If Paytm Payments Bank fails to comply with laws, regulations or policies, or loses its licenses, and as a result is unable to provide services to us for which we have partnered with it, our business, reputation, financial condition, cash flows, results of operations and prospectus may be materially and adversely affected to that extent. These various regulatory requirements and their interpretation, application and enforcement relating to Paytm Payments Bank may increase its compliance costs or limit its scale of operations which could also increase our cost of availing its services, and in turn have a material adverse impact on our financial condition, cash flows and results of operations. For some of our business strategies to be successful, Paytm Payments Bank must be able to provide us with services for which we have partnered with it, in compliance with regulatory requirements as well the terms of the agreements executed by Paytm Payments Bank with us, at acceptable costs and on a timely basis. Any failure by Paytm Payments Bank to provide these services to us may interrupt our ability to provide some of the services to our merchants and consumers, which could have a material adverse impact on our operations to that extent.",Regulatory,4,"High (Regulatory): Specific and material operational/business dependency, but contingent or forward-looking."
"We rely on our financial institutions partners to provide our financial services and products, and any failure to maintain our relationships with them could have an adverse impact on our operations. We partner with financial institutions partners to provide financial services and products to consumers and merchants. Our financial institutions partners include commercial banks, mutual fund managers, insurance companies, securities firms and other licensed financial institutions. Our success depends on our ability to maintain a mutually beneficial partnership with these financial institutions. Our financial institutions partners may determine to reach and acquire consumers directly instead of partnering with us; may renegotiate commercial terms of the fee arrangements we have with them; may become unwilling to offer products and services on our platforms; and may reduce or cease their cooperation with us and therefore expose us to greater partner concentration risk or ultimately lead to our inability to satisfy demand from consumers. The agreements with our financial institutions partners are typically for a fixed period varying from three years to five years, with automatic renewal for a further period, unless terminated. Our financial institutions partners may terminate these agreements without any reason by typically giving a notice of 30 days or with immediate effect in case of any material breach of our obligations under these agreements and on the occurrence of certain other events. In relation to the agreements providing for borrower acquisition, we are required conduct and/or facilitate the KYC verification and risk assessment of potential borrowers and communicate the results to the lender. However, we may not be able to identify any potential red flags in our analysis which may later be identified by the lender, which may impact our credibility and ability to facilitate acquisition of creditworthy borrowers. Further, our marketing efforts may not generate the desired results and may fail to engage our consumers and lead to satisfactory acquisition rates as expected by our financial institutions partners. For instance, we have entered into collection agreements with various financial institution partners under which we provide collection services to such financial institution partners in respect of loans that are extended by them. Collection fees under these agreements are paid to our Company based on the collection targets, and non-achievement of such targets could have an impact on the service fees to be paid to us, which could in turn have a adverse impact on our financial condition, cash flows and results of operations.",Regulatory,3,Moderate (Regulatory): Real business risk but stated vaguely without specific numbers or metrics.
"We have a history of net losses, we anticipate increasing operating expenses in the future, and we may not be able to achieve and maintain profitability. We have incurred net losses for the last three years, including a restated total comprehensive income/(loss) for the year including discontinued operations of ₹(42,355) million, ₹(29,433) million and ₹(17,040) million in FY 2019, FY 2020 and FY 2021, respectively. We expect to continue to incur net losses for the foreseeable future and we may not achieve or maintain profitability in the future. Because the market for our platforms, products and services is evolving, it is difficult for us to predict our future results of operations or the limits of our market opportunity. We expect our operating expenses to increase as we hire additional personnel, expand our operations and infrastructure, both domestically and internationally, continue to enhance our platforms and develop and expand its capabilities, expand our products and services, and expand and improve our interface. These initiatives may be more costly than we expect and may not result in increased net revenue. In addition, when we become a listed company, we will incur additional significant legal, accounting, and other expenses that we did not incur as an unlisted company. Any failure to increase our net revenue sufficiently to keep pace with our initiatives, investments, and other expenses could prevent us from achieving or maintaining profitability or positive cash flow on a consistent basis in future periods. If we fail to achieve or maintain profitability, our business, results of operations, cash flows and financial condition could be adversely affected. We cannot assure you that we will ever achieve or sustain profitability and may continue to incur significant losses going forward. Any failure by us to achieve or sustain profitability on a consistent basis could cause the value of our Equity Shares to decline. Further, some of our subsidiaries and associates have incurred losses for the past few fiscal years. To continue their operations, they may need financial support in the form of debt or equity from their shareholders, including our Company. There is no certainty that they will become profitable, or be able to raise adequate capital to continue their operations or meet their obligations. If these subsidiaries or associates do not become profitable, and are not able to raise capital either through debt or equity, their operations may be affected. We also carry forward our income tax losses incurred in past fiscal years, to be offset against future income tax liabilities. Setting off such tax losses against future taxable income is subject to compliance with various conditions specified under Income tax laws. Such conditions include restrictions in change of shareholding of the Company above a certain threshold. We cannot assure you that we will be able to comply with such conditions or exemptions to achieve a set off of all tax losses which are carried forward. We are unable to make any assurance that we will be able to fully utilize the tax loss carry forward in a timely manner which would result in such unutilized tax loss carry forwards to expire.",Regulatory,5,Severe (Regulatory): Material impact is quantified with specific numbers/historical financial losses.
